t,S,I,R
7.1250353767471815,35,45,5
7.1449069139334505,35,44,5
7.147248475957017,34,45,5
7.258441445350085,33,46,5
7.516466774836506,33,45,5
7.616542791697281,33,44,5
7.711726529234338,32,45,5
8.12965765986122,31,46,5
8.132395091551839,30,47,5
8.187118956482136,29,48,5
8.191676931479991,29,47,6
8.40573584910621,28,48,6
8.46491255178462,28,47,6
8.59677793038708,27,48,6
8.651656662789058,27,47,6
8.714905325387216,26,48,6
8.809146050856375,26,49,6
8.915115369421594,25,50,6
8.950071568867303,25,49,6
8.979127354692942,25,48,7
8.982788999644214,24,49,7
9.022293247590053,24,48,8
9.244832940233113,24,47,8
9.348628254467616,24,46,8
9.348683608300039,24,45,9
9.369159274703211,23,46,9
9.400273777649373,22,47,9
9.444498026223897,22,46,10
9.453046788229537,22,45,10
9.51546034761508,21,46,10
9.628355330740424,20,47,10
9.757115073114651,20,46,11
9.886298709593758,19,47,11
10.100152960772432,19,48,11
10.382005575763014,19,47,11
10.534832132579552,18,48,11
10.583949323772027,18,47,11
10.585215395682432,18,48,11
10.61095045149829,17,49,11
10.883682690448753,17,48,11
11.021685666578843,16,49,11
11.028286910477329,15,50,11
11.037156713991358,15,49,11
11.060187984300445,14,50,11
11.339065747118866,14,49,12
11.517164175765362,14,48,12
11.988033955024877,13,49,12
12.141936162577151,13,48,13
12.271924100914202,12,49,13
12.375758285902279,11,50,13
12.42213290612236,11,49,13
12.588506535640262,11,48,13
12.798152006444695,11,47,13
12.949315139424296,10,48,13
12.960405825825045,10,47,13
12.992327228079752,9,48,13
14.077581097084607,9,47,13
14.078206321264753,8,48,13
14.092300637749378,7,49,13
14.275497413307617,6,50,13
14.384506584117178,6,49,13
14.483566114645592,6,48,13
14.517630328846687,6,47,14
14.537995945905594,5,48,14
14.621477289590606,5,47,15
14.951022907088692,5,46,15
15.195306627197988,5,45,15
15.344840302179298,5,44,16
15.360606820613192,4,45,16
15.425861835666945,4,44,16
15.514504028781515,4,43,16
16.337031708829162,4,42,16
16.393145241439345,4,41,16
16.534129207266673,4,40,16
16.901464282937205,4,39,16
16.974642348299557,4,38,16
17.149261260235114,4,37,16
17.521092156854856,4,36,16
18.055771870047522,4,35,16
18.401183705923234,4,34,16
18.804924731969713,4,33,16
18.877106363236976,4,32,17
18.87959517764251,4,31,17
19.152914737283794,3,32,17
19.308045994134982,3,31,17
19.801809142190127,3,30,17
20.37761599319864,3,29,18
20.387474454534523,3,28,18
20.451914118085668,3,27,18
20.519428754765038,3,26,18
21.424842605644667,3,25,18
22.662887253329078,3,24,18
22.726215083327222,2,25,18
22.833847228034028,2,24,18
22.955089647192118,2,23,18
22.955172457490598,2,22,18
23.997795343777625,2,21,19
24.26901494724846,2,20,19
24.280952825505466,2,19,20
24.462019857414074,2,18,21
24.482034918620748,2,17,22
24.730443430358772,2,16,22
25.184945839835525,2,15,22
25.40997119159233,2,14,22
28.079733517398676,2,13,23
29.164531849038468,3,13,23
29.26542911165144,3,12,23
30.899050419003185,3,11,24
32.99204345070658,3,10,24
36.58732487765323,3,9,24
37.07775404059683,2,10,24
37.92894728034353,2,9,24
38.806762989986815,2,8,25
41.86841850080382,2,7,26
42.42380626029637,2,6,26
47.162600893408296,2,5,27
48.29787866257027,2,4,27
51.23281199625242,2,3,27
56.116002651939425,2,2,28
87.08560804850283,2,1,29
127.47766719619034,2,0,29
140.36372339996004,3,0,29
142.2076013839994,4,0,29
171.74449560355418,5,0,29
180.23556589137084,6,0,29
185.8619512660808,7,0,29
258.14431307656037,8,0,29
